,PRODUCTO,TIENDA,TIPO_TIENDA,MUNICIPIO,ESTADO,INCUMPLIMIENTO
26314,ROPA,ALMACENES  ME LO LLEVO,PRENDAS DE VESTIR,TAPACHULA,CHIAPAS,NO SE DETECTO INCUMPLIMIENTO
26315,ROPA,BOTIQUE IVONNE,ROPA PARA DAMA,TAPACHULA,CHIAPAS,NO SE DETECTO INCUMPLIMIENTO
26316,ROPA,ELECZION,ROPA PARA DAMA,TAPACHULA,CHIAPAS,NO SE DETECTO INCUMPLIMIENTO
26317,BOLSO PARA DAMA,BOUTIQUE LEBOLSHA',BOUTIQUE,TAPACHULA,CHIAPAS,NO SE DETECTO INCUMPLIMIENTO
26318,ROPA,BOUTIQUE LISSARA,ROPA PARA DAMA,TAPACHULA,CHIAPAS,NO SE DETECTO INCUMPLIMIENTO
26319,ROPA,CHICAS FASHION,ROPA PARA DAMA,TAPACHULA,CHIAPAS,NO SE DETECTO INCUMPLIMIENTO
26320,ROPA,DIVERTICHONES Y/O,CORSETERIA Y LENCERIA,TAPACHULA,CHIAPAS,NO SE DETECTO INCUMPLIMIENTO
26321,ROPA,SOZUA BOUTIQUE,ROPA PARA CABALLERO,TAPACHULA,CHIAPAS,NO SE DETECTO INCUMPLIMIENTO
26322,LICOR,CADENA  COMERCIAL OXXO  SA DE C.V.,TIENDA DE AUTOSERVICIO,TAPACHULA,CHIAPAS,NO SE DETECTO INCUMPLIMIENTO
26323,LICOR,CADENA  COMERCIAL OXXO  SA DE C.V.,TIENDA DE AUTOSERVICIO,TAPACHULA,CHIAPAS,NO SE DETECTO INCUMPLIMIENTO
26324,TEQUILA,CADENA COMERCIAL OXXO  S.A. DE C.V.,TIENDA DE AUTOSERVICIO,TAPACHULA,CHIAPAS,NO SE DETECTO INCUMPLIMIENTO
26325,TEQUILA,CADENA COMERCIAL OXXO  S.A. DE C.V.,TIENDA DE AUTOSERVICIO,TAPACHULA,CHIAPAS,NO SE DETECTO INCUMPLIMIENTO
26326,PRODUCTOS ALIMENTICIOS,PRODUCTOS DE CONSUMO Z  S.A DE C.V    Y/O PITICO,TIENDA DE AUTOSERVICIO,TAPACHULA,CHIAPAS,NO SE DETECTO INCUMPLIMIENTO
26327,PRODUCTOS ALIMENTICIOS,SUPER WILLYùS   S.A DE C.V.,MINI SUPER,TAPACHULA,CHIAPAS,NO SE DETECTO INCUMPLIMIENTO
26328,LICOR,SUPER CAVA VINOS Y LICORES,VINOS Y LICORES,TAPACHULA,CHIAPAS,NO SE DETECTO INCUMPLIMIENTO
26329,LICOR,SUPER CAVA VINOS Y LICORES,VINOS Y LICORES,TAPACHULA,CHIAPAS,NO SE DETECTO INCUMPLIMIENTO
26330,PRODUCTOS ALIMENTICIOS,PRODUCTOS DE CONSUMO Z  S.A DE C.V  Y/O  PITICO,TIENDA DE AUTOSERVICIO,TAPACHULA,CHIAPAS,NO SE DETECTO INCUMPLIMIENTO
26331,ROPA,COMERCIAL IAC S.A DE C.V. (VERTICHE),PRENDAS DE VESTIR,TAPACHULA,CHIAPAS,NO SE DETECTO INCUMPLIMIENTO
26332,ROPA,MILANO,ROPA PARA CABALLERO,TAPACHULA,CHIAPAS,NO SE DETECTO INCUMPLIMIENTO
26333,ROPA,HANG TEN,PRENDAS DE VESTIR,TAPACHULA,CHIAPAS,NO SE DETECTO INCUMPLIMIENTO
26334,ROPA,SENSACION,PRENDAS DE VESTIR,TAPACHULA,CHIAPAS,NO SE DETECTO INCUMPLIMIENTO
26335,ROPA,SANTORY  INTERNACIONAL S. A DE C.V.,ROPA PARA DAMA,TAPACHULA,CHIAPAS,NO SE DETECTO INCUMPLIMIENTO
26336,ROPA,COPPEL S.A DE C.V.,MUEBLERIA,TAPACHULA,CHIAPAS,NO SE DETECTO INCUMPLIMIENTO
26337,ATUN,"PRODUCTOS DE CONSUMO Z   S.A DE C.V.  ""PITICO 19""",ABARROTES,TAPACHULA,CHIAPAS,NO SE DETECTO INCUMPLIMIENTO
26338,ATUN,"PRODUCTOS DE CONSUMO Z   S.A DE C.V.  ""PITICO 19""",ABARROTES,TAPACHULA,CHIAPAS,NO SE DETECTO INCUMPLIMIENTO
26339,ATUN,CADENA COMERCIAL  OXXO  SA DE C.V,TIENDAS DE CONVENIENCIA,TAPACHULA,CHIAPAS,NO SE DETECTO INCUMPLIMIENTO
26340,ATUN,CADENA COMERCIAL  OXXO  SA DE C.V,TIENDAS DE CONVENIENCIA,TAPACHULA,CHIAPAS,NO SE DETECTO INCUMPLIMIENTO
26341,ATUN,"AUTOSERVICIO DEL AHORRO  S.A. DE C.V. ""SUPER LOO""",ABARROTES,TAPACHULA,CHIAPAS,NO SE DETECTO INCUMPLIMIENTO
26342,ATUN,"AUTOSERVICIO DEL AHORRO  S.A. DE C.V. ""SUPER LOO""",ABARROTES,TAPACHULA,CHIAPAS,NO SE DETECTO INCUMPLIMIENTO
26343,ATUN,PRODUCTOS DE CONSUMO Z  S.A DE C.V Y/O PITICO,ABARROTES VINOS Y LICORES,TAPACHULA,CHIAPAS,NO SE DETECTO INCUMPLIMIENTO
26344,ATUN,PRODUCTOS DE CONSUMO Z  S.A DE C.V Y/O PITICO,ABARROTES VINOS Y LICORES,TAPACHULA,CHIAPAS,NO SE DETECTO INCUMPLIMIENTO
26345,ATUN,TIENDAS SORIANA  S.A. DE C.V.,TIENDA DE AUTOSERVICIO,TAPACHULA,CHIAPAS,NO SE DETECTO INCUMPLIMIENTO
26346,ATUN,TIENDAS SORIANA  S.A. DE C.V.,TIENDA DE AUTOSERVICIO,TAPACHULA,CHIAPAS,NO SE DETECTO INCUMPLIMIENTO
26347,ATUN,SUPER WILLY S S.A DE C.V,TIENDA DE AUTOSERVICIO,TAPACHULA,CHIAPAS,NO SE DETECTO INCUMPLIMIENTO
26348,ATUN,SUPER WILLY S S.A DE C.V,TIENDA DE AUTOSERVICIO,TAPACHULA,CHIAPAS,NO SE DETECTO INCUMPLIMIENTO
26349,ATUN,"AUTOSERVICIO DEL AHORRO SA DE C.V.   ""SUPER LOO""",TIENDAS DE AUTOSERVICIO ESPECIALIZADAS,TAPACHULA,CHIAPAS,NO SE DETECTO INCUMPLIMIENTO
26350,ATUN,"AUTOSERVICIO DEL AHORRO SA DE C.V.   ""SUPER LOO""",TIENDAS DE AUTOSERVICIO ESPECIALIZADAS,TAPACHULA,CHIAPAS,NO SE DETECTO INCUMPLIMIENTO
26351,ROPA,ROPA BARATA KARLA,ROPA PARA DAMA,TAPACHULA,CHIAPAS,NO SE DETECTO INCUMPLIMIENTO
26352,ROPA,HUELLITAS MODA KIDS,ROPA INFANTIL,TAPACHULA,CHIAPAS,Carece de marca comercial ( excepto si se identifica al Nombre  Denominacion  o Razon Social del  Fabricante o importador )
26353,ACCESORIOS DE VESTIR,KE BONITO,ROPA PARA DAMA,TAPACHULA,CHIAPAS,NO SE DETECTO INCUMPLIMIENTO
26354,ROPA,MODA PARISINA,BOUTIQUE,TAPACHULA,CHIAPAS,NO SE DETECTO INCUMPLIMIENTO
26355,BLANCOS PARA EL HOGAR,NOVEDADES POBEDITA,ROPA PARA DAMA,TAPACHULA,CHIAPAS,NO SE DETECTO INCUMPLIMIENTO
26356,ROPA,NOVEDADES JANETH,ROPA PARA DAMA,TAPACHULA,CHIAPAS,NO SE DETECTO INCUMPLIMIENTO
26357,ARTICULOS PARA DECORACION,NOVEDADES DANIA,ROPA PARA DAMA,TAPACHULA,CHIAPAS,NO SE DETECTO INCUMPLIMIENTO
26358,ZAPATOS,ZAPATERIA 3 HERMANOS,ZAPATERIA,TAPACHULA,CHIAPAS,NO SE DETECTO INCUMPLIMIENTO
26359,DULCES Y GOLOSINAS,SUPER DULCERIAS YOYIS,DULCES Y CHOCOLATES,TAPACHULA,CHIAPAS,NO SE DETECTO INCUMPLIMIENTO
26360,DULCES Y GOLOSINAS,MINI SUPER,DULCES Y CHOCOLATES,TAPACHULA,CHIAPAS,NO SE DETECTO INCUMPLIMIENTO
26361,ZAPATOS,ZAPATERIA MODA SHOES,ZAPATERIA,TAPACHULA,CHIAPAS,NO SE DETECTO INCUMPLIMIENTO
26362,ROPA,BONETERIA Y NOVEDADES ANY,NOVEDADES Y FANTASIAS,TAPACHULA,CHIAPAS,NO SE DETECTO INCUMPLIMIENTO
26363,ROPA,MODAS SUSY,ROPA PARA DAMA,PIJIJIAPAN,CHIAPAS,NO SE DETECTO INCUMPLIMIENTO
26364,ZAPATOS,DIVENZA  Y/O CALZADO CHIAPANECO S.A DE C.V.,ZAPATERIA,TAPACHULA,CHIAPAS,NO SE DETECTO INCUMPLIMIENTO
26365,ROPA,JOTA/ERRE,TIENDA DEPARTAMENTAL,TAPACHULA,CHIAPAS,NO SE DETECTO INCUMPLIMIENTO
26366,ROPA,LISSARA BOUTIQUE,BOUTIQUE,TAPACHULA,CHIAPAS,NO SE DETECTO INCUMPLIMIENTO
26367,ROPA,OPER,ROPA PARA DAMA,TAPACHULA,CHIAPAS,NO SE DETECTO INCUMPLIMIENTO
26368,ROPA,STILOS,ROPA PARA CABALLERO,TAPACHULA,CHIAPAS,NO SE DETECTO INCUMPLIMIENTO
26369,APARATOS ELECTRICOS,CREDILAND S.A DE C.V.,MUEBLERIA,TAPACHULA,CHIAPAS,NO SE DETECTO INCUMPLIMIENTO
26370,ROPA,BEAUTIFUL'S   BOUTIQUE,BOUTIQUE,TAPACHULA,CHIAPAS,NO SE DETECTO INCUMPLIMIENTO
26371,ZAPATOS,ZAPATERIA KIDS,ZAPATERIA,TAPACHULA,CHIAPAS,NO SE DETECTO INCUMPLIMIENTO
26372,ZAPATOS,CALAZAMODA RODRIGUEZ,ZAPATERIA,TAPACHULA,CHIAPAS,NO SE DETECTO INCUMPLIMIENTO
26373,ZAPATOS,ZAPATERIA CECY,ZAPATERIA,TAPACHULA,CHIAPAS,NO SE DETECTO INCUMPLIMIENTO
26374,ROPA,ROMANZZINO  S.A. DE C.V. (LIZ MINELLI),PRENDAS DE VESTIR,TAPACHULA,CHIAPAS,NO SE DETECTO INCUMPLIMIENTO
26375,ROPA,EL ARMARIO Y/O KERWAY S.A DE C.V.,ROPA PARA CABALLERO,TAPACHULA,CHIAPAS,NO SE DETECTO INCUMPLIMIENTO
26376,APARATOS ELECTRONICOS,TU TIENDA DE REMATE CAHS Y/O DISTRIBUCIONES MUEBLERAS  SA DE CV.,PRODUCTOS ELECTRICOS,TAPACHULA,CHIAPAS,NO SE DETECTO INCUMPLIMIENTO
26377,APARATOS ELECTRICOS,MUEBLERIA  ALEX,APARATOS ELECTRICOS-TRONICOS-DOMESTICOS,TAPACHULA,CHIAPAS,NO SE DETECTO INCUMPLIMIENTO
26378,BOLSO PARA DAMA,ENVOLTURAS Y ACCESORIOS CHABELLY,NOVEDADES Y FANTASIAS,TAPACHULA,CHIAPAS,NO SE DETECTO INCUMPLIMIENTO
26379,ROPA,ROPA Y CALZADO GARFIELD,ROPA PARA DAMA,CACAHOATAN,CHIAPAS,NO SE DETECTO INCUMPLIMIENTO
26380,ROPA,NOVEDADES INNOMINADO Y/O DULCE,ROPA INFANTIL,CACAHOATAN,CHIAPAS,NO SE DETECTO INCUMPLIMIENTO
26381,ROPA,DISTRIBUIDORA ARIES,ROPA PARA CABALLERO,CACAHOATAN,CHIAPAS,NO SE DETECTO INCUMPLIMIENTO
26382,ZAPATOS,ZAPATERIA  ALEX,ZAPATERIA,CACAHOATAN,CHIAPAS,NO SE DETECTO INCUMPLIMIENTO
26383,ZAPATOS,ZAPATERIA GORDILLO,ZAPATERIA,ESCUINTLA,CHIAPAS,NO SE DETECTO INCUMPLIMIENTO
26384,ROPA,NOVEDADES SARITA,ROPA PARA DAMA,TAPACHULA,CHIAPAS,NO SE DETECTO INCUMPLIMIENTO
26385,ROPA,NOVEDADES ALEXANDER SUC.1,ROPA PARA DAMA,TAPACHULA,CHIAPAS,NO SE DETECTO INCUMPLIMIENTO
26386,ZAPATOS,MAYOREO Y MENUDEO ZAPATERIA,ZAPATERIA,TAPACHULA,CHIAPAS,NO SE DETECTO INCUMPLIMIENTO
26387,ROPA,ELITE LOCKERS Y/O ALL SPORT FLAG SHIP S.A DE C.V.,ROPA DEPORTIVA,TAPACHULA,CHIAPAS,NO SE DETECTO INCUMPLIMIENTO
26388,ROPA,PIRMA,ROPA DEPORTIVA,TAPACHULA,CHIAPAS,NO SE DETECTO INCUMPLIMIENTO
26389,ROPA,PIRMA,ROPA DEPORTIVA,TAPACHULA,CHIAPAS,NO SE DETECTO INCUMPLIMIENTO
26390,JUGUETES,COMERCIALIZADORA JESSY,NOVEDADES Y FANTASIAS,TAPACHULA,CHIAPAS,NO SE DETECTO INCUMPLIMIENTO
26391,ROPA,COMERCIAL IAC S.A DE C.V. (VERTICHE),PRENDAS DE VESTIR,TAPACHULA,CHIAPAS,NO SE DETECTO INCUMPLIMIENTO
26392,ROPA,COPPEL  SA  DE   CV,TIENDA DEPARTAMENTAL,TAPACHULA,CHIAPAS,NO SE DETECTO INCUMPLIMIENTO
26393,ROPA,ZOY ZOLO YO,ZAPATERIA,TAPACHULA,CHIAPAS,NO SE DETECTO INCUMPLIMIENTO
26394,ZAPATOS,ZAPATERIA TRES HERMANOS,ZAPATERIA,HUIXTLA,CHIAPAS,NO SE DETECTO INCUMPLIMIENTO
26395,PRODUCTOS LACTEOS,QUESOS VAQUERO,PRODUCTORES DE EMBUTIDOS,HUEHUETAN,CHIAPAS,NO SE DETECTO INCUMPLIMIENTO
26396,ROPA,SUBURBIA  S DE R.L DE C.V.,TIENDA DEPARTAMENTAL,TAPACHULA,CHIAPAS,NO SE DETECTO INCUMPLIMIENTO
26397,ROPA,COPPEL S.A DE C.V.,MUEBLERIA,TAPACHULA,CHIAPAS,NO SE DETECTO INCUMPLIMIENTO
26398,ROPA,ALMACENES PRINCIPADO DE VERACRUZ SA. DE C.V.,JUGUETERIA,TAPACHULA,CHIAPAS,NO SE DETECTO INCUMPLIMIENTO
26399,MUEBLES PARA EL HOGAR,GRUPO MINA MUEBLERIAS,MUEBLERIA,MAPASTEPEC,CHIAPAS,NO SE DETECTO INCUMPLIMIENTO
26400,MUEBLES PARA EL HOGAR,MUEBLES Y ELECTRODOMESTICOS GUTIERREZ S.A. DE C.V.,MUEBLERIA,MAPASTEPEC,CHIAPAS,NO SE DETECTO INCUMPLIMIENTO
26401,ZAPATOS,ZAPATERIA CALZAHORRO,ZAPATERIA,MAPASTEPEC,CHIAPAS,NO SE DETECTO INCUMPLIMIENTO
26402,ZAPATOS,ZAPATERIA CANADA  FASHION,ZAPATERIA,MAPASTEPEC,CHIAPAS,NO SE DETECTO INCUMPLIMIENTO
26403,ROPA,NOVEDADES   TERE  Y KARENT,NOVEDADES Y FANTASIAS,MAPASTEPEC,CHIAPAS,NO SE DETECTO INCUMPLIMIENTO
